price_date,state,diesel_price_per_litre,source
2023-01-01,Andhra Pradesh,97.35,PPAC-derived
2023-01-01,Delhi,89.62,PPAC-IOC-metro
2023-01-01,Gujarat,89.15,PPAC-derived
2023-01-01,Haryana,91.65,PPAC-derived
2023-01-01,Karnataka,93.85,PPAC-derived
2023-01-01,Madhya Pradesh,94.15,PPAC-derived
2023-01-01,Maharashtra,94.27,PPAC-IOC-metro
2023-01-01,Punjab,92.25,PPAC-derived
2023-01-01,Rajasthan,95.05,PPAC-derived
2023-01-01,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-01,Telangana,96.15,PPAC-derived
2023-01-01,Uttar Pradesh,90.85,PPAC-derived
2023-01-01,West Bengal,92.76,PPAC-IOC-metro
2023-01-02,Andhra Pradesh,97.35,PPAC-derived
2023-01-02,Delhi,89.62,PPAC-IOC-metro
2023-01-02,Gujarat,89.15,PPAC-derived
2023-01-02,Haryana,91.65,PPAC-derived
2023-01-02,Karnataka,93.85,PPAC-derived
2023-01-02,Madhya Pradesh,94.15,PPAC-derived
2023-01-02,Maharashtra,94.27,PPAC-IOC-metro
2023-01-02,Punjab,92.25,PPAC-derived
2023-01-02,Rajasthan,95.05,PPAC-derived
2023-01-02,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-02,Telangana,96.15,PPAC-derived
2023-01-02,Uttar Pradesh,90.85,PPAC-derived
2023-01-02,West Bengal,92.76,PPAC-IOC-metro
2023-01-03,Andhra Pradesh,97.35,PPAC-derived
2023-01-03,Delhi,89.62,PPAC-IOC-metro
2023-01-03,Gujarat,89.15,PPAC-derived
2023-01-03,Haryana,91.65,PPAC-derived
2023-01-03,Karnataka,93.85,PPAC-derived
2023-01-03,Madhya Pradesh,94.15,PPAC-derived
2023-01-03,Maharashtra,94.27,PPAC-IOC-metro
2023-01-03,Punjab,92.25,PPAC-derived
2023-01-03,Rajasthan,95.05,PPAC-derived
2023-01-03,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-03,Telangana,96.15,PPAC-derived
2023-01-03,Uttar Pradesh,90.85,PPAC-derived
2023-01-03,West Bengal,92.76,PPAC-IOC-metro
2023-01-04,Andhra Pradesh,97.35,PPAC-derived
2023-01-04,Delhi,89.62,PPAC-IOC-metro
2023-01-04,Gujarat,89.15,PPAC-derived
2023-01-04,Haryana,91.65,PPAC-derived
2023-01-04,Karnataka,93.85,PPAC-derived
2023-01-04,Madhya Pradesh,94.15,PPAC-derived
2023-01-04,Maharashtra,94.27,PPAC-IOC-metro
2023-01-04,Punjab,92.25,PPAC-derived
2023-01-04,Rajasthan,95.05,PPAC-derived
2023-01-04,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-04,Telangana,96.15,PPAC-derived
2023-01-04,Uttar Pradesh,90.85,PPAC-derived
2023-01-04,West Bengal,92.76,PPAC-IOC-metro
2023-01-05,Andhra Pradesh,97.35,PPAC-derived
2023-01-05,Delhi,89.62,PPAC-IOC-metro
2023-01-05,Gujarat,89.15,PPAC-derived
2023-01-05,Haryana,91.65,PPAC-derived
2023-01-05,Karnataka,93.85,PPAC-derived
2023-01-05,Madhya Pradesh,94.15,PPAC-derived
2023-01-05,Maharashtra,94.27,PPAC-IOC-metro
2023-01-05,Punjab,92.25,PPAC-derived
2023-01-05,Rajasthan,95.05,PPAC-derived
2023-01-05,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-05,Telangana,96.15,PPAC-derived
2023-01-05,Uttar Pradesh,90.85,PPAC-derived
2023-01-05,West Bengal,92.76,PPAC-IOC-metro
2023-01-06,Andhra Pradesh,97.35,PPAC-derived
2023-01-06,Delhi,89.62,PPAC-IOC-metro
2023-01-06,Gujarat,89.15,PPAC-derived
2023-01-06,Haryana,91.65,PPAC-derived
2023-01-06,Karnataka,93.85,PPAC-derived
2023-01-06,Madhya Pradesh,94.15,PPAC-derived
2023-01-06,Maharashtra,94.27,PPAC-IOC-metro
2023-01-06,Punjab,92.25,PPAC-derived
2023-01-06,Rajasthan,95.05,PPAC-derived
2023-01-06,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-06,Telangana,96.15,PPAC-derived
2023-01-06,Uttar Pradesh,90.85,PPAC-derived
2023-01-06,West Bengal,92.76,PPAC-IOC-metro
2023-01-07,Andhra Pradesh,97.35,PPAC-derived
2023-01-07,Delhi,89.62,PPAC-IOC-metro
2023-01-07,Gujarat,89.15,PPAC-derived
2023-01-07,Haryana,91.65,PPAC-derived
2023-01-07,Karnataka,93.85,PPAC-derived
2023-01-07,Madhya Pradesh,94.15,PPAC-derived
2023-01-07,Maharashtra,94.27,PPAC-IOC-metro
2023-01-07,Punjab,92.25,PPAC-derived
2023-01-07,Rajasthan,95.05,PPAC-derived
2023-01-07,Tamil Nadu,94.24,PPAC-IOC-metro
2023-01-07,Telangana,96.15,PPAC-derived
2023-01-07,Uttar Pradesh,90.85,PPAC-derived
2023-01-07,West Bengal,92.76,PPAC-IOC-metro
2023-01-08,Andhra Pradesh,97.35,PPAC-derived
2023-01-08,Delhi,89.62,PPAC-IOC-metro
2023-01-08,Gujarat,89.15,PPAC-derived
2023-01-08,Haryana,91.65,PPAC-derived
2023-01-08,Karnataka,93.85,PPAC-derived
2023-01-08,Madhya Pradesh,94.15,PPAC-derived
2023-01-08,Maharashtra,94.27,PPAC-IOC-metro
