invoice_id,order_id,vendor_id,actual_billed_amount,actual_days,adverse_weather_days,cost_mismatch,true_delay_days,commercial_delay_days,vendor_padding_ratio,vendor_historical_risk_score,requires_manual_review
INV000001,ORD025565,VEN002,30020.13,1.24,0,-391.619999999999,0.0,-0.15999999999999992,1.129032258064516,0.06,0
INV000035,ORD035322,VEN003,56434.3,1.94,0,1890.25,0.44299999999999984,0.040000000000000036,1.2692050768203071,0.06,0
INV000036,ORD026917,VEN001,32781.07,1.63,0,-525.3400000000038,0.5119999999999998,0.22999999999999998,1.252236135957066,0.06,0
INV000037,ORD012439,VEN005,24803.37,1.14,0,-479.1900000000023,0.11399999999999988,0.039999999999999813,1.0721247563352827,0.06,0
INV000038,ORD017689,VEN006,24019.47,1.11,0,1064.1900000000023,0.4570000000000001,0.21000000000000008,1.3782542113323124,0.06,0
INV000039,ORD035096,VEN001,27722.42,3.8,0,4846.189999999999,2.851,2.6999999999999997,1.1591148577449948,0.04,1
INV000040,ORD046375,VEN006,22830.16,1.05,0,-399.97000000000116,0.12,-0.1499999999999999,1.2903225806451613,0.04,0
INV000041,ORD024809,VEN023,31539.24,1.64,0,1571.1800000000003,0.45399999999999996,0.1399999999999999,1.2647554806070826,0.06,0
INV000042,ORD000009,VEN005,29932.31,1.07,0,1188.9500000000007,0.19600000000000006,0.17000000000000004,1.0297482837528604,0.04,0
INV000043,ORD031876,VEN015,46816.26,1.03,0,11916.380000000005,0.08200000000000007,-0.07000000000000006,1.160337552742616,0.06,1
INV000044,ORD025963,VEN005,29572.7,0.82,0,427.5400000000009,0.0030000000000000027,-0.08000000000000007,1.101591187270502,0.03,0
INV000046,ORD034601,VEN021,24892.86,1.25,0,-563.4599999999991,0.44399999999999995,0.35,1.1166253101736971,0.06,0
INV000047,ORD033707,VEN005,37364.82,1.5,0,4647.279999999999,0.1459999999999999,0.0,1.1078286558345642,0.024,0
INV000048,ORD024264,VEN012,20482.18,0.86,0,-83.5099999999984,0.0010000000000000009,-0.2400000000000001,1.280558789289872,0.06,0
INV000049,ORD028335,VEN005,16500.93,0.42,0,707.5699999999997,-0.0010000000000000009,0.019999999999999962,0.9501187648456058,0.02,0
INV000050,ORD029540,VEN008,34976.12,1.02,0,8085.310000000001,0.274,0.12,1.2064343163538875,0.06,0
INV000051,ORD018369,VEN005,8461.2,0.31,0,-221.98999999999978,0.05399999999999999,0.010000000000000009,1.171875,0.017142857142857144,0
INV000052,ORD016526,VEN002,23435.29,0.69,0,476.84000000000015,0.03699999999999992,-0.010000000000000009,1.0719754977029095,0.04,0
INV000053,ORD037598,VEN015,14030.16,0.46,0,3925.7800000000007,0.049000000000000044,0.06,0.9732360097323602,0.37333333333333335,0
INV000054,ORD050495,VEN003,48435.01,1.76,0,1550.6100000000006,0.476,0.15999999999999992,1.2461059190031154,0.04,0
INV000055,ORD042951,VEN003,25770.34,1.05,0,-1607.9500000000007,0.30400000000000005,0.15000000000000002,1.2064343163538875,0.03,0
INV000056,ORD015432,VEN023,43758.05,2.1,0,2600.040000000001,1.0090000000000001,0.7000000000000002,1.2832263978001832,0.04,1
INV000057,ORD055292,VEN008,15935.35,0.47,0,2446.550000000001,0.059,-0.030000000000000027,1.2165450121654502,0.04,0
INV000058,ORD002780,VEN012,10329.15,0.44,0,-3.2700000000004366,0.128,0.03999999999999998,1.2820512820512822,0.04,0
INV000059,ORD002935,VEN019,43363.19,2.43,0,915.6200000000026,0.6700000000000002,0.22999999999999998,1.25,0.06,0
INV000060,ORD056621,VEN005,12092.82,0.47,0,380.1900000000005,0.15799999999999997,0.06999999999999995,1.2820512820512822,0.015,0
INV000061,ORD059100,VEN005,35426.89,1.35,0,5570.73,0.1100000000000001,-0.04999999999999982,1.129032258064516,0.013333333333333332,0
INV000062,ORD049243,VEN010,46535.43,1.19,0,31.400000000001455,0.0040000000000000036,-0.010000000000000009,1.0118043844856661,0.06,0
INV000063,ORD046443,VEN024,16511.31,0.78,0,653.130000000001,0.15800000000000003,0.08000000000000007,1.12540192926045,0.06,0
INV000064,ORD052732,VEN005,30544.69,3.13,0,7874.259999999998,2.485,2.4299999999999997,1.0852713178294573,0.012,1
INV000034,ORD058304,VEN025,40946.28,1.61,0,1129.2999999999956,0.29100000000000015,0.2100000000000002,1.061410159211524,0.06,0
INV000033,ORD041992,VEN022,12500.33,0.74,0,-160.96999999999935,0.19199999999999995,0.040000000000000036,1.2773722627737225,0.06,0
INV000045,ORD046100,VEN022,13921.01,0.58,0,1814.7600000000002,0.06699999999999995,-0.12,1.364522417153996,0.04,0
INV000031,ORD054388,VEN003,8553.21,0.38,0,-195.08000000000175,0.0010000000000000009,-0.020000000000000018,1.0554089709762533,0.024,0
INV000002,ORD031488,VEN005,23697.94,1.3,0,-325.97999999999956,0.28100000000000014,0.10000000000000009,1.1776251226692838,0.10181818181818182,0
