origin_hub_id,dest_hub_id,distance_km,osrm_duration_days,buffered_ideal_days,last_refreshed
HUB01,HUB02,146.9,0.0922,0.12,2026-09-05
HUB01,HUB03,525.5,0.2787,0.362,2026-09-05
HUB01,HUB04,862.6,0.5125,0.666,2026-09-05
HUB01,HUB05,1410.0,0.7524,0.978,2026-09-05
HUB01,HUB06,1380.2,0.7301,0.949,2026-09-05
HUB01,HUB07,1695.3,0.879,1.143,2026-09-05
HUB01,HUB08,1138.0,0.5988,0.778,2026-09-05
HUB01,HUB09,1381.9,0.7293,0.948,2026-09-05
HUB01,HUB10,1919.8,1.0412,1.354,2026-09-05
HUB01,HUB11,1246.6,0.6725,0.874,2026-09-05
HUB01,HUB12,1336.6,0.7524,0.978,2026-09-05
HUB01,HUB13,993.5,0.5455,0.709,2026-09-05
HUB01,HUB14,701.1,0.3969,0.516,2026-09-05
HUB01,HUB15,798.1,0.4464,0.58,2026-09-05
HUB01,HUB16,586.8,0.3162,0.411,2026-09-05
HUB01,HUB17,1264.0,0.7183,0.934,2026-09-05
HUB01,HUB18,280.9,0.1497,0.195,2026-09-05
HUB02,HUB03,657.0,0.3579,0.465,2026-09-05
HUB02,HUB04,994.1,0.5918,0.769,2026-09-05
HUB02,HUB05,1478.5,0.8006,1.041,2026-09-05
HUB02,HUB06,1375.3,0.7707,1.002,2026-09-05
HUB02,HUB07,1780.8,0.9539,1.24,2026-09-05
HUB02,HUB08,1206.4,0.647,0.841,2026-09-05
HUB02,HUB09,1362.1,0.7154,0.93,2026-09-05
HUB02,HUB10,1821.4,0.9891,1.286,2026-09-05
HUB02,HUB11,1099.9,0.5807,0.755,2026-09-05
HUB02,HUB12,1189.8,0.6607,0.859,2026-09-05
HUB02,HUB13,846.7,0.4537,0.59,2026-09-05
HUB02,HUB14,554.3,0.3051,0.397,2026-09-05
HUB02,HUB15,699.7,0.3943,0.513,2026-09-05
HUB02,HUB16,609.7,0.328,0.426,2026-09-05
HUB02,HUB17,1117.2,0.6266,0.815,2026-09-05
HUB02,HUB18,412.4,0.2289,0.298,2026-09-05
HUB03,HUB04,344.1,0.2424,0.315,2026-09-05
HUB03,HUB05,925.6,0.5021,0.653,2026-09-05
HUB03,HUB06,895.8,0.4798,0.624,2026-09-05
HUB03,HUB07,1127.3,0.5921,0.77,2026-09-05
HUB03,HUB08,653.6,0.3486,0.453,2026-09-05
HUB03,HUB09,1085.4,0.5741,0.746,2026-09-05
HUB03,HUB10,1958.4,1.0355,1.346,2026-09-05
HUB03,HUB11,1726.3,0.9104,1.184,2026-09-05
HUB03,HUB12,1816.2,0.9904,1.288,2026-09-05
HUB03,HUB13,1473.1,0.7835,1.019,2026-09-05
HUB03,HUB14,1167.2,0.6282,0.817,2026-09-05
HUB03,HUB15,834.3,0.443,0.576,2026-09-05
HUB03,HUB16,388.6,0.2088,0.271,2026-09-05
HUB03,HUB17,1718.5,0.912,1.186,2026-09-05
HUB03,HUB18,273.1,0.1467,0.191,2026-09-05
HUB04,HUB05,1132.8,0.6389,0.831,2026-09-05
HUB04,HUB06,1103.0,0.6166,0.802,2026-09-05
HUB04,HUB07,1179.9,0.6319,0.821,2026-09-05
HUB04,HUB08,860.8,0.4854,0.631,2026-09-05
HUB04,HUB09,1398.5,0.7667,0.997,2026-09-05
HUB04,HUB10,2311.5,1.2758,1.659,2026-09-05
HUB04,HUB11,2063.6,1.1419,1.484,2026-09-05
HUB04,HUB12,2153.5,1.2219,1.588,2026-09-05
HUB04,HUB13,1810.5,1.0149,1.319,2026-09-05
HUB04,HUB14,1504.6,0.8597,1.118,2026-09-05
HUB04,HUB15,1187.5,0.6833,0.888,2026-09-05
HUB04,HUB16,741.7,0.4491,0.584,2026-09-05
HUB04,HUB17,2066.6,1.1499,1.495,2026-09-05
HUB04,HUB18,610.4,0.3781,0.492,2026-09-05
HUB05,HUB06,33.1,0.027,0.035,2026-09-05
HUB05,HUB07,307.5,0.1731,0.225,2026-09-05
HUB05,HUB08,286.0,0.1608,0.209,2026-09-05
HUB05,HUB09,471.8,0.2569,0.334,2026-09-05
HUB05,HUB10,1474.9,0.7882,1.025,2026-09-05
HUB05,HUB11,2210.9,1.2029,1.564,2026-09-05
HUB05,HUB12,2546.3,1.3902,1.807,2026-09-05
HUB05,HUB13,2203.3,1.1832,1.538,2026-09-05
HUB05,HUB14,1577.2,0.8727,1.135,2026-09-05
HUB05,HUB15,1069.9,0.5891,0.766,2026-09-05
HUB05,HUB16,872.5,0.4785,0.622,2026-09-05
HUB05,HUB17,1783.2,0.9679,1.258,2026-09-05
HUB05,HUB18,1157.2,0.6198,0.806,2026-09-05
HUB06,HUB07,341.1,0.1966,0.256,2026-09-05
HUB06,HUB08,256.2,0.1383,0.18,2026-09-05
HUB06,HUB09,470.7,0.2492,0.324,2026-09-05
HUB06,HUB10,1466.9,0.7764,1.009,2026-09-05
HUB06,HUB11,2171.6,1.1716,1.523,2026-09-05
HUB06,HUB12,2439.2,1.3565,1.763,2026-09-05
HUB06,HUB13,2096.2,1.1495,1.494,2026-09-05
HUB06,HUB14,1537.9,0.8414,1.094,2026-09-05
HUB06,HUB15,1030.5,0.5579,0.725,2026-09-05
HUB06,HUB16,765.3,0.4448,0.578,2026-09-05
HUB06,HUB17,1743.9,0.9366,1.218,2026-09-05
HUB06,HUB18,1127.4,0.5973,0.776,2026-09-05
HUB07,HUB08,592.4,0.3165,0.411,2026-09-05
HUB07,HUB09,754.4,0.4166,0.542,2026-09-05
HUB07,HUB10,1757.5,0.9478,1.232,2026-09-05
HUB07,HUB11,2503.1,1.3535,1.76,2026-09-05
HUB07,HUB12,2852.8,1.5459,2.01,2026-09-05
HUB07,HUB13,2509.7,1.3389,1.741,2026-09-05
HUB07,HUB14,1869.5,1.0233,1.33,2026-09-05
HUB07,HUB15,1362.1,0.7397,0.962,2026-09-05
HUB07,HUB16,1178.9,0.6342,0.824,2026-09-05
HUB07,HUB17,2075.4,1.1184,1.454,2026-09-05
HUB07,HUB18,1427.5,0.7441,0.967,2026-09-05
HUB08,HUB09,519.5,0.2744,0.357,2026-09-05
HUB08,HUB10,1515.7,0.8016,1.042,2026-09-05
HUB08,HUB11,2096.7,1.1196,1.456,2026-09-05
HUB08,HUB12,2276.0,1.2355,1.606,2026-09-05
HUB08,HUB13,1933.0,1.0286,1.337,2026-09-05
HUB08,HUB14,1463.0,0.7894,1.026,2026-09-05
