price_date,state,diesel_price_per_litre,source
2023-01-01,Andhra Pradesh,96.12,PPAC-benchmark
2023-01-01,Delhi,87.28,PPAC-benchmark
2023-01-01,Gujarat,87.89,PPAC-benchmark
2023-01-01,Haryana,90.43,PPAC-benchmark
2023-01-01,Karnataka,92.62,PPAC-benchmark
2023-01-01,Madhya Pradesh,92.88,PPAC-benchmark
2023-01-01,Maharashtra,95.18,PPAC-benchmark
2023-01-01,Punjab,90.97,PPAC-benchmark
2023-01-01,Rajasthan,93.78,PPAC-benchmark
2023-01-01,Tamil Nadu,91.48,PPAC-benchmark
2023-01-01,Telangana,94.86,PPAC-benchmark
2023-01-01,Uttar Pradesh,89.58,PPAC-benchmark
2023-01-01,West Bengal,92.17,PPAC-benchmark
2023-01-02,Andhra Pradesh,96.18,PPAC-benchmark
2023-01-02,Delhi,87.24,PPAC-benchmark
2023-01-02,Gujarat,87.95,PPAC-benchmark
2023-01-02,Haryana,90.48,PPAC-benchmark
2023-01-02,Karnataka,92.67,PPAC-benchmark
2023-01-02,Madhya Pradesh,92.99,PPAC-benchmark
2023-01-02,Maharashtra,95.29,PPAC-benchmark
2023-01-02,Punjab,91.12,PPAC-benchmark
2023-01-02,Rajasthan,93.89,PPAC-benchmark
2023-01-02,Tamil Nadu,91.52,PPAC-benchmark
2023-01-02,Telangana,94.99,PPAC-benchmark
2023-01-02,Uttar Pradesh,89.65,PPAC-benchmark
2023-01-02,West Bengal,92.15,PPAC-benchmark
2023-01-03,Andhra Pradesh,96.2,PPAC-benchmark
2023-01-03,Delhi,87.21,PPAC-benchmark
2023-01-03,Gujarat,87.98,PPAC-benchmark
2023-01-03,Haryana,90.49,PPAC-benchmark
2023-01-03,Karnataka,92.7,PPAC-benchmark
2023-01-03,Madhya Pradesh,92.99,PPAC-benchmark
2023-01-03,Maharashtra,95.29,PPAC-benchmark
2023-01-03,Punjab,91.01,PPAC-benchmark
2023-01-03,Rajasthan,94.01,PPAC-benchmark
2023-01-03,Tamil Nadu,91.44,PPAC-benchmark
2023-01-03,Telangana,94.93,PPAC-benchmark
2023-01-03,Uttar Pradesh,89.71,PPAC-benchmark
2023-01-03,West Bengal,92.19,PPAC-benchmark
2023-01-04,Andhra Pradesh,96.16,PPAC-benchmark
2023-01-04,Delhi,87.34,PPAC-benchmark
2023-01-04,Gujarat,88.08,PPAC-benchmark
2023-01-04,Haryana,90.57,PPAC-benchmark
2023-01-04,Karnataka,92.73,PPAC-benchmark
2023-01-04,Madhya Pradesh,92.98,PPAC-benchmark
2023-01-04,Maharashtra,95.32,PPAC-benchmark
2023-01-04,Rajasthan,93.98,PPAC-benchmark
2023-01-04,Tamil Nadu,91.52,PPAC-benchmark
2023-01-04,Telangana,95.1,PPAC-benchmark
2023-01-04,Uttar Pradesh,89.71,PPAC-benchmark
2023-01-04,West Bengal,92.26,PPAC-benchmark
2023-01-05,Andhra Pradesh,96.2,PPAC-benchmark
2023-01-05,Delhi,87.47,PPAC-benchmark
2023-01-05,Gujarat,88.09,PPAC-benchmark
2023-01-05,Haryana,90.56,PPAC-benchmark
2023-01-05,Karnataka,92.79,PPAC-benchmark
2023-01-05,Madhya Pradesh,93.05,PPAC-benchmark
2023-01-05,Maharashtra,95.35,PPAC-benchmark
2023-01-05,Punjab,91.2,PPAC-benchmark
2023-01-05,Rajasthan,94.02,PPAC-benchmark
2023-01-05,Tamil Nadu,91.56,PPAC-benchmark
2023-01-05,Telangana,95.16,PPAC-benchmark
2023-01-05,Uttar Pradesh,89.69,PPAC-benchmark
2023-01-05,West Bengal,92.27,PPAC-benchmark
2023-01-06,Andhra Pradesh,96.34,PPAC-benchmark
2023-01-06,Delhi,87.39,PPAC-benchmark
2023-01-06,Gujarat,88.11,PPAC-benchmark
2023-01-06,Haryana,90.61,PPAC-benchmark
2023-01-06,Karnataka,92.79,PPAC-benchmark
2023-01-06,Madhya Pradesh,93.2,PPAC-benchmark
2023-01-06,Punjab,91.09,PPAC-benchmark
2023-01-06,Rajasthan,94.04,PPAC-benchmark
2023-01-06,Tamil Nadu,91.7,PPAC-benchmark
2023-01-06,Uttar Pradesh,89.8,PPAC-benchmark
2023-01-06,West Bengal,92.31,PPAC-benchmark
2023-01-07,Andhra Pradesh,96.44,PPAC-benchmark
2023-01-07,Delhi,87.43,PPAC-benchmark
2023-01-07,Gujarat,88.18,PPAC-benchmark
2023-01-07,Haryana,90.64,PPAC-benchmark
2023-01-07,Karnataka,92.9,PPAC-benchmark
2023-01-07,Madhya Pradesh,93.16,PPAC-benchmark
2023-01-07,Maharashtra,95.53,PPAC-benchmark
2023-01-07,Punjab,91.21,PPAC-benchmark
2023-01-07,Rajasthan,94.13,PPAC-benchmark
2023-01-07,Tamil Nadu,91.65,PPAC-benchmark
