order_id,vendor_id,origin_hub_id,dest_hub_id,product_category,order_date,weight_kg,length_cm,width_cm,height_cm,quoted_days,ideal_days,distance_km,dimensional_weight_kg,billable_weight_kg,truck_type,state,expected_fuel_price,expected_weather_score,base_freight_cost,model_a_predicted_cost,oof_fold_id
ORD023632,VEN005,HUB08,HUB04,Electronics Components,2023-01-01,6167.003064643457,264.52093798306885,224.37307844787114,181.04609046922354,1.2,1.056,977.3,2149.066960088858,6167.003064643457,6-wheeler,Rajasthan,93.78,0.0,17011.02,17256.59,1
ORD008740,VEN007,HUB08,HUB05,Steel Coils,2023-01-01,22173.467125891133,178.8276688115109,177.88238242124314,219.19526473894362,0.6,0.458,327.6,1394.5330652347307,22173.467125891133,12-wheeler,Rajasthan,93.78,0.0,8881.9,8900.89,1
ORD026285,VEN016,HUB12,HUB05,Bulk Textiles,2023-01-01,8788.56367661181,340.44063384211495,294.09067439316004,297.9097230043023,4.1,3.587,2556.4,5965.369055543133,8788.56367661181,6-wheeler,Tamil Nadu,91.48,0.0,44305.64,44681.42,4
ORD017057,VEN002,HUB14,HUB03,Steel Coils,2023-01-01,18069.096545348784,241.1125072351999,156.87260569482646,194.656760079166,2.0,1.638,1193.8,1472.5374060146405,18069.096545348784,12-wheeler,Telangana,94.86,0.0,33043.21,32219.13,2
ORD042319,VEN002,HUB14,HUB16,Electronics Components,2023-01-01,14763.277220674556,303.6900465810871,260.5639554854138,355.9047768057162,1.4,1.161,851.7,5632.597385025819,14763.277220674556,10-wheeler,Telangana,94.86,0.0,20534.94,20495.21,0
ORD011807,VEN015,HUB03,HUB07,Bulk Textiles,2023-01-01,22624.188970692696,557.8201564013234,472.8864775230212,323.75818220480915,1.6,1.467,1309.5,17080.549842740045,22624.188970692696,12-wheeler,Gujarat,87.89,0.0,32785.62,32781.95,3
ORD001092,VEN005,HUB14,HUB04,Bulk Textiles,2023-01-01,19896.02912086452,457.6101649465093,424.6997732503842,585.2642140471359,2.6,2.32,1667.8,22748.86103287144,22748.86103287144,12-wheeler,Telangana,94.86,0.0,45620.84,45155.5,0
ORD057672,VEN005,HUB17,HUB03,Automotive Spare Parts,2023-01-01,8895.703257977853,264.9552522177265,195.6063425836907,230.08425985168984,2.0,1.789,1627.2,2384.9120662444216,8895.703257977853,6-wheeler,Andhra Pradesh,96.12,0.0,29217.5,29167.24,0
ORD030755,VEN003,HUB10,HUB14,Steel Coils,2023-01-01,23983.811299143712,201.1586268189795,185.53532938018517,287.701769791538,2.2,1.898,1684.0,2147.522936586888,23983.811299143712,12-wheeler,West Bengal,92.17,0.0,43949.71,43937.82,2
ORD030856,VEN003,HUB04,HUB11,Industrial Chemicals,2023-01-01,11235.31313912596,259.89246117532826,181.12270152840426,222.21787943867554,2.8,2.352,1925.6,2092.0668782604516,11235.31313912596,10-wheeler,Gujarat,87.89,0.0,43047.5,43081.24,4
ORD024648,VEN006,HUB17,HUB13,Industrial Chemicals,2023-01-01,17653.73627864857,317.29091723659,226.62566200940952,219.23840220177365,1.5,1.182,1112.6,3152.9228929120054,17653.73627864857,12-wheeler,Andhra Pradesh,96.12,0.0,30243.85,30063.06,4
