route_key,window_start,window_end,precipitation_sum_json,windspeed_max_json,api_call_timestamp
HUB02-HUB04,2023-01-07,2023-01-09,"[0.3, 0.2, 0.9]","[7.4, 19.2, 26.9]",2026-08-14 06:28:38.979739
HUB11-HUB14,2023-11-30,2023-12-01,"[0.5, 0.7]","[14.1, 7.6]",2026-08-14 06:28:38.979975
HUB08-HUB14,2024-04-26,2024-04-29,"[9.0, 0.6, 0.0, 0.7]","[15.5, 17.5, 14.7, 14.3]",2026-08-14 06:28:38.980221
HUB14-HUB18,2024-06-21,2024-06-23,"[0.0, 0.0, 0.9]","[13.6, 3.3, 13.3]",2026-08-14 06:28:38.980399
HUB17-HUB10,2025-09-04,2025-09-06,"[25.5, 53.2, 0.8]","[7.6, 14.0, 14.2]",2026-08-14 06:28:38.980564
HUB07-HUB05,2024-03-21,2024-03-22,"[1.4, 0.5]","[9.9, 14.9]",2026-08-14 06:28:38.980720
HUB06-HUB11,2024-02-02,2024-02-05,"[3.6, 0.2, 0.0, 0.4]","[16.6, 11.0, 14.2, 12.5]",2026-08-14 06:28:38.980881
HUB14-HUB02,2025-11-23,2025-11-24,"[None, 1.6]","[11.6, 17.0]",2026-08-14 06:28:38.981029
HUB03-HUB13,2025-08-16,2025-08-19,"[92.4, 13.4, 0.0, 0.6]","[9.6, 14.6, 16.4, 13.8]",2026-08-14 06:28:38.981225
HUB09-HUB08,2023-02-11,2023-02-12,"[0.0, 7.6]","[18.5, 11.0]",2026-08-14 06:28:38.981367
HUB18-HUB15,2024-06-25,2024-06-26,"[0.4, 0.0]","[18.8, 16.3]",2026-08-14 06:28:38.981496
HUB13-HUB06,2025-12-26,2025-12-29,"[1.7, 1.1, 1.1, 0.6]","[14.2, 17.8, 16.1, 16.0]",2026-08-14 06:28:38.981663
HUB04-HUB07,2024-10-28,2024-10-30,"[1.2, 1.5, 0.6]","[11.6, 19.3, 10.4]",2026-08-14 06:28:38.981804
HUB08-HUB07,2024-01-22,2024-01-23,"[0.0, 0.7]","[14.8, 14.2]",2026-08-14 06:28:38.981930
HUB18-HUB13,2024-04-23,2024-04-25,"[0.0, 0.2, 1.2]","[16.3, 11.5, 15.7]",2026-08-14 06:28:38.982120
HUB10-HUB12,2025-01-02,2025-01-05,"[0.0, 0.0, 0.0, 0.4]","[19.3, 8.1, 20.2, 17.8]",2026-08-14 06:28:38.982335
HUB16-HUB01,2024-10-25,2024-10-27,"[0.0, 0.3, 0.4]","[15.8, 14.6, 21.0]",2026-08-14 06:28:38.982484
