series,key,date,forecast
weather_precip,HUB01,2026-02-08,0.204
weather_precip,HUB01,2026-02-15,0.087
weather_precip,HUB01,2026-02-22,0.219
weather_precip,HUB01,2026-03-01,0.137
weather_precip,HUB01,2026-03-08,0.007
weather_precip,HUB01,2026-03-15,0.003
weather_precip,HUB01,2026-03-22,0.001
weather_precip,HUB01,2026-03-29,0.001
weather_precip,HUB01,2026-04-05,0.634
weather_precip,HUB01,2026-04-12,0.04
weather_precip,HUB01,2026-04-19,0.0
weather_precip,HUB01,2026-04-26,0.0
weather_precip,HUB01,2026-05-03,0.0
weather_precip,HUB01,2026-05-10,8.51
weather_precip,HUB01,2026-05-17,7.54
weather_precip,HUB01,2026-05-24,28.637
weather_precip,HUB01,2026-05-31,40.291
weather_precip,HUB01,2026-06-07,44.235
weather_precip,HUB01,2026-06-14,109.987
weather_precip,HUB01,2026-06-21,207.47
weather_precip,HUB01,2026-06-28,203.436
weather_precip,HUB01,2026-07-05,134.82
weather_precip,HUB01,2026-07-12,256.826
weather_precip,HUB01,2026-07-19,229.876
weather_precip,HUB01,2026-07-26,220.994
weather_precip,HUB01,2026-08-02,127.886
weather_temp,HUB01,2026-02-08,31.606
weather_temp,HUB01,2026-02-15,33.474
weather_temp,HUB01,2026-02-22,32.53
weather_temp,HUB01,2026-03-01,34.01
weather_temp,HUB01,2026-03-08,33.684
weather_temp,HUB01,2026-03-15,33.47
weather_temp,HUB01,2026-03-22,33.835
weather_temp,HUB01,2026-03-29,33.637
weather_temp,HUB01,2026-04-05,35.022
weather_temp,HUB01,2026-04-12,33.547
weather_temp,HUB01,2026-04-19,34.992
weather_temp,HUB01,2026-04-26,34.729
weather_temp,HUB01,2026-05-03,34.315
weather_temp,HUB01,2026-05-10,32.598
weather_temp,HUB01,2026-05-17,35.091
weather_temp,HUB01,2026-05-24,33.468
weather_temp,HUB01,2026-05-31,32.484
weather_temp,HUB01,2026-06-07,32.265
weather_temp,HUB01,2026-06-14,30.298
weather_temp,HUB01,2026-06-21,29.6
